TOTAL_EMPTY_HOUSES,POP_DENS_sqkm,LOW_INCOME_PERC,LOWMOD_INCOME_PERC,WHITE_POP_PERC,BLACK_POP_PERC,O18_POP_PERC,IS_HOTSPOT
80,7093.51,0.35,0.53,0.33,0.53,0.86,0
105,12624.70,0.41,0.51,0.32,0.51,0.84,0
97,2079.44,0.69,0.77,0.12,0.76,0.77,0
10,1148.31,0.36,0.45,0.25,0.57,0.89,0
38,2884.28,0.22,0.29,0.19,0.64,0.82,0
27,3781.55,0.09,0.78,0.22,0.67,0.78,0
111,5142.27,0.56,0.60,0.16,0.71,0.81,0
463,2654.99,0.11,0.15,0.47,0.28,0.95,0
122,4653.23,0.25,0.32,0.46,0.30,0.86,0
40,2490.38,0.54,0.65,0.18,0.71,0.84,0
0,0.00,0.00,0.00,0.00,0.00,0.00,0
24,2372.84,0.30,0.36,0.14,0.73,0.83,0
31,1456.05,0.12,0.14,0.33,0.51,0.81,0
134,10215.19,0.61,0.72,0.19,0.66,0.87,0
69,9908.79,0.66,0.69,0.17,0.72,0.84,0
124,1394.61,0.21,0.30,0.66,0.18,0.96,0
52,8536.78,0.22,0.41,0.35,0.49,0.87,0
32,7354.79,0.45,0.48,0.28,0.46,0.86,0
34,10709.40,0.89,1.00,0.03,0.67,0.73,0
16,3299.60,0.03,0.04,0.40,0.44,0.78,0
103,3371.03,0.23,0.32,0.37,0.41,0.85,0
26,2877.91,0.21,0.25,0.19,0.68,0.83,0
97,6423.25,1.00,1.00,0.27,0.59,0.89,0
118,5496.51,0.75,0.82,0.15,0.65,0.82,0
34,14083.66,0.13,0.21,0.53,0.26,0.92,0
26,3293.69,0.18,0.25,0.34,0.47,0.82,0
19,3501.92,0.18,0.37,0.44,0.42,0.86,0
28,3738.10,0.03,0.03,0.25,0.56,0.71,0
17,4571.84,0.03,0.08,0.10,0.72,0.80,0
34,2839.08,0.09,0.22,0.10,0.70,0.80,0
46,3746.13,0.42,0.42,0.24,0.58,0.87,0
79,7194.96,0.34,0.46,0.03,0.90,0.84,0
40,10280.30,0.11,0.11,0.65,0.21,0.97,0
22,2130.90,0.27,0.33,0.14,0.47,0.79,0
5,5751.61,0.26,0.38,0.09,0.77,0.84,0
64,12659.47,0.83,0.99,0.00,0.97,0.65,0
31,3508.58,0.22,0.23,0.05,0.79,0.79,0
34,7268.41,0.77,0.98,0.02,0.86,0.77,0
37,5088.37,0.17,0.29,0.15,0.71,0.82,0
8,4213.27,0.14,0.26,0.18,0.66,0.83,0
14,3508.67,1.00,1.00,0.05,0.85,0.79,0
83,9028.25,0.48,0.58,0.02,0.88,0.74,0
42,3459.35,0.41,0.56,0.07,0.82,0.83,0
39,3582.38,0.38,0.90,0.07,0.84,0.81,0
67,4300.12,0.33,0.46,0.12,0.68,0.85,0
40,5164.92,0.57,0.65,0.09,0.70,0.82,0
48,4311.54,0.65,0.77,0.06,0.42,0.71,0
41,4444.90,0.90,0.91,0.06,0.59,0.77,0
5,6012.88,0.46,1.00,0.11,0.73,0.81,0
70,6598.03,0.47,0.56,0.14,0.65,0.85,0
51,9615.01,0.43,0.53,0.10,0.68,0.74,0
0,2871.85,0.00,0.00,0.32,0.29,0.99,0
102,8891.99,0.51,0.51,0.44,0.34,0.92,0
50,10339.72,0.14,0.25,0.66,0.11,0.98,0
34,12440.69,0.47,0.55,0.55,0.28,0.83,0
96,10711.48,0.21,0.21,0.58,0.28,0.91,0
117,16957.03,0.16,0.19,0.64,0.16,0.91,0
324,10440.74,0.10,0.16,0.55,0.25,0.90,0
0,301.88,0.00,0.00,0.11,0.42,0.73,0
74,48368.71,0.12,0.41,0.69,0.10,0.98,0
48,12304.71,0.07,0.12,0.55,0.23,0.98,0
76,1392.67,0.25,0.31,0.66,0.07,0.95,0
139,5557.97,0.30,0.33,0.63,0.05,0.97,0
78,19290.74,0.05,0.06,0.62,0.10,0.97,0
0,12.04,0.00,0.00,0.00,0.00,1.00,0
38,15810.72,0.06,0.08,0.63,0.12,0.99,0
0,0.00,0.00,0.00,0.00,0.00,0.00,0
0,0.00,0.00,0.00,0.00,0.00,0.00,0
110,23301.62,0.14,0.16,0.68,0.07,0.99,0
45,4453.83,0.52,0.73,0.03,0.81,0.77,0
116,9313.36,0.84,0.85,0.03,0.89,0.72,0
16,8848.38,0.86,0.95,0.01,0.90,0.66,0
92,6243.42,0.27,0.30,0.02,0.91,0.75,0
33,5402.67,0.50,0.60,0.02,0.91,0.78,0
68,8315.77,1.00,1.00,0.02,0.92,0.69,0
70,7017.41,0.59,0.67,0.03,0.87,0.79,0
81,4583.51,0.55,0.70,0.03,0.95,0.81,0
102,4946.91,0.93,0.97,0.01,0.94,0.73,0
62,4103.00,0.35,0.58,0.51,0.12,0.98,0
58,6692.27,0.08,0.21,0.61,0.10,0.97,0
88,3882.93,0.19,0.29,0.57,0.21,0.97,0
92,26189.00,0.14,0.14,0.60,0.18,0.96,0
59,13893.15,0.19,0.26,0.57,0.23,0.96,0
71,17102.44,0.20,0.30,0.38,0.44,0.95,0
0,0.00,0.00,0.00,0.00,0.00,0.00,0
51,7551.39,0.21,0.28,0.50,0.33,0.93,0
0,90.41,0.00,0.00,0.13,0.13,0.80,0
0,408.55,0.00,0.00,0.60,0.07,0.86,0
375,2966.34,0.18,0.19,0.57,0.20,0.94,0
0,0.00,0.00,0.00,0.00,0.00,0.00,0
32,1305.42,0.17,0.39,0.20,0.61,0.86,0
31,6042.03,0.13,0.14,0.15,0.56,0.77,0
60,5370.28,0.56,0.71,0.25,0.42,0.75,0
0,0.00,0.00,0.00,0.00,0.00,0.00,0
72,25028.70,0.14,0.24,0.51,0.28,0.95,0
59,13086.59,0.51,0.54,0.32,0.53,0.82,0
1,51.01,0.00,0.00,0.00,0.00,0.85,0
21,2545.37,0.22,0.48,0.28,0.56,0.89,0
58,1689.03,0.10,0.22,0.09,0.80,0.65,0
56,2638.81,0.51,0.55,0.19,0.66,0.77,0
37,400.62,0.18,0.26,0.09,0.80,0.84,0
4,15.29,0.00,0.00,0.27,0.65,0.95,0
