TOTAL_EMPTY_HOUSES,POP_DENS_sqkm,LOW_INCOME_PERC,LOWMOD_INCOME_PERC,WHITE_POP_PERC,BLACK_POP_PERC,O18_POP_PERC,IS_HOTSPOT
128,2568.98,0.18,0.27,0.70,0.07,0.89,0
44,31754.05,0.08,0.17,0.71,0.06,0.90,0
70,3398.04,0.22,0.26,0.72,0.06,0.94,0
46,4906.24,0.09,0.15,0.75,0.03,0.83,0
75,8117.17,0.11,0.27,0.79,0.04,0.92,0
67,5301.14,0.22,0.33,0.76,0.09,0.87,0
45,2453.79,0.04,0.07,0.76,0.04,0.85,0
40,4454.78,0.15,0.20,0.74,0.04,0.81,0
34,2756.38,0.04,0.04,0.78,0.04,0.78,0
49,8599.54,0.10,0.26,0.69,0.05,0.91,0
124,12782.23,0.44,0.52,0.56,0.12,0.96,0
34,14604.66,0.28,0.35,0.64,0.07,0.90,0
91,15158.14,0.11,0.25,0.58,0.13,0.87,0
91,11561.89,0.05,0.11,0.84,0.04,0.94,0
113,8807.20,0.16,0.24,0.61,0.10,0.92,0
57,7705.28,0.44,0.49,0.68,0.08,0.84,0
83,1191.63,0.15,0.27,0.65,0.09,0.82,0
31,1895.17,0.12,0.20,0.71,0.03,0.78,0
33,9977.30,0.03,0.03,0.71,0.05,0.89,0
81,9910.04,0.25,0.26,0.71,0.04,0.90,0
66,11186.18,0.42,0.43,0.71,0.07,0.91,0
21,1195.48,0.03,0.03,0.78,0.04,0.73,0
28,1658.71,0.04,0.04,0.65,0.08,0.90,0
134,6857.97,0.15,0.17,0.77,0.03,0.92,0
129,1643.25,0.08,0.09,0.82,0.01,0.84,0
98,5603.88,0.18,0.23,0.85,0.01,0.85,0
102,812.75,0.13,0.14,0.76,0.03,0.89,0
17,488.80,0.09,0.09,0.64,0.18,0.75,0
0,0.00,0.00,0.00,0.00,0.00,0.00,0
0,13883.45,0.00,0.00,0.62,0.08,0.99,0
29,2283.16,0.22,0.26,0.75,0.03,0.77,0
47,764.31,0.28,0.35,0.58,0.17,0.80,0
15,1420.20,0.03,0.05,0.63,0.14,0.76,0
19,9003.72,0.37,0.40,0.61,0.17,0.90,0
44,7501.35,0.04,0.21,0.69,0.09,0.87,0
70,23231.75,0.30,0.41,0.76,0.08,0.97,0
39,30484.18,0.09,0.24,0.58,0.17,0.93,0
68,2115.11,0.26,0.26,0.65,0.08,0.85,0
32,2177.81,0.46,0.46,0.68,0.10,0.91,0
56,8107.61,0.13,0.15,0.77,0.04,0.95,0
43,24691.12,0.28,0.46,0.69,0.08,0.97,0
60,11785.11,0.22,0.29,0.77,0.06,0.99,0
37,2401.92,0.09,0.14,0.74,0.05,0.93,0
60,5780.83,0.14,0.21,0.67,0.10,0.79,0
16,2768.05,0.00,0.00,0.85,0.01,0.74,0
12,3011.76,0.02,0.02,0.74,0.08,0.73,0
17,2174.29,0.13,0.15,0.80,0.07,0.82,0
94,8661.40,0.15,0.21,0.60,0.18,0.84,0
28,1388.60,0.14,0.23,0.80,0.04,0.75,0
22,1871.29,0.01,0.06,0.86,0.03,0.75,0
33,858.92,0.07,0.11,0.77,0.04,0.75,0
26,1139.76,0.27,0.58,0.02,0.89,0.83,0
18,10110.90,0.00,0.00,0.54,0.13,1.00,0
24,1809.07,0.15,0.16,0.82,0.03,0.79,0
8,2394.58,0.00,0.04,0.81,0.04,0.74,0
45,884.37,0.19,0.20,0.08,0.83,0.84,0
40,1101.39,0.07,0.13,0.81,0.05,0.79,0
184,3012.11,0.57,0.60,0.58,0.15,0.93,0
77,5731.82,0.39,0.65,0.02,0.95,0.79,0
12,2685.44,0.17,0.25,0.77,0.03,0.83,0
58,9702.43,0.26,0.28,0.77,0.09,0.91,0
92,6970.18,0.09,0.11,0.64,0.09,0.86,0
9,3275.71,0.02,0.02,0.83,0.02,0.73,0
4,2876.96,0.02,0.02,0.80,0.02,0.75,0
9,3306.23,0.00,0.00,0.78,0.04,0.70,0
32,2604.66,0.06,0.14,0.73,0.03,0.77,0
41,4265.70,0.30,0.35,0.75,0.06,0.80,0
19,2351.78,0.13,0.16,0.74,0.05,0.78,0
81,4385.17,0.15,0.15,0.74,0.06,0.82,0
53,3690.90,0.14,0.14,0.70,0.09,0.79,0
6,3923.71,0.14,0.14,0.75,0.08,0.81,0
73,1732.94,0.11,0.11,0.71,0.07,0.81,0
40,10369.53,0.31,0.35,0.67,0.12,0.86,0
23,6296.58,0.17,0.21,0.72,0.08,0.83,0
11,3857.37,0.02,0.02,0.74,0.05,0.76,0
43,11285.28,0.55,0.73,0.15,0.44,0.74,0
39,6169.15,0.15,0.19,0.20,0.57,0.79,0
78,6743.21,0.41,0.43,0.15,0.62,0.81,0
12,8198.70,0.45,0.57,0.15,0.55,0.76,0
68,5581.33,0.38,0.45,0.21,0.58,0.80,0
21,8009.98,0.13,0.65,0.19,0.47,0.81,0
44,8459.17,0.22,0.38,0.16,0.60,0.72,0
12,9030.73,0.13,0.31,0.30,0.50,0.78,0
59,7594.73,0.52,0.93,0.32,0.42,0.80,0
17,8889.48,0.24,0.27,0.19,0.61,0.80,0
92,3252.66,0.79,0.93,0.14,0.48,0.76,0
36,8448.91,0.40,0.42,0.22,0.50,0.75,0
53,8513.09,0.14,0.18,0.23,0.49,0.80,0
33,6994.93,0.13,0.21,0.35,0.40,0.81,0
52,8828.80,0.18,0.26,0.28,0.47,0.78,0
11,2925.26,0.04,0.05,0.79,0.04,0.72,0
51,3516.06,0.00,0.00,0.80,0.07,0.76,0
11,2393.71,0.13,0.13,0.79,0.08,0.73,0
7,3472.23,0.01,0.09,0.85,0.04,0.73,0
19,2477.42,0.03,0.04,0.30,0.56,0.77,0
19,3881.93,0.30,0.30,0.32,0.46,0.76,0
27,2533.38,0.00,0.01,0.27,0.57,0.77,0
36,989.50,0.03,0.04,0.30,0.59,0.79,0
51,3814.48,0.08,0.14,0.41,0.39,0.84,0
62,3378.77,0.19,0.25,0.32,0.49,0.83,0
29,1282.83,0.39,0.45,0.15,0.56,0.76,0
24,17357.26,0.82,0.97,0.06,0.57,0.73,0
28,20830.84,0.66,0.80,0.06,0.50,0.75,0
42,6906.73,0.49,0.75,0.11,0.51,0.76,0
53,6904.20,0.90,0.91,0.08,0.64,0.78,0
69,14420.83,0.64,0.69,0.10,0.50,0.73,0
30,4225.02,0.38,0.38,0.16,0.56,0.80,0
29,5693.43,0.36,0.44,0.21,0.57,0.79,0
34,7757.77,0.17,0.21,0.21,0.46,0.79,0
13,4714.59,0.71,0.75,0.24,0.50,0.76,0
35,3107.76,0.23,0.28,0.20,0.65,0.79,0
6,1754.54,0.39,0.59,0.25,0.52,0.80,0
39,12052.59,1.00,1.00,0.14,0.34,0.75,0
30,2597.94,0.14,0.19,0.34,0.38,0.79,0
16,3175.79,0.05,0.40,0.32,0.43,0.78,0
57,9303.83,0.31,0.39,0.20,0.41,0.80,0
65,4570.13,0.14,0.14,0.30,0.44,0.78,0
85,8538.67,0.32,0.45,0.16,0.54,0.77,0
34,13477.44,0.49,0.65,0.15,0.40,0.77,0
38,9358.58,0.48,0.52,0.26,0.49,0.78,0
28,6852.15,0.24,0.29,0.18,0.42,0.77,0
55,10756.29,0.54,1.00,0.41,0.37,0.84,0
52,11340.73,0.13,0.16,0.36,0.32,0.84,0
83,12216.13,0.18,0.27,0.30,0.38,0.81,0
52,11077.82,0.32,0.32,0.30,0.39,0.85,0
54,4960.59,0.28,0.30,0.45,0.39,0.84,0
75,11888.81,0.12,0.17,0.56,0.28,0.87,0
66,11953.35,0.18,0.26,0.49,0.33,0.88,0
146,9221.89,0.38,0.42,0.30,0.61,0.83,0
5,161.44,0.00,0.00,0.22,0.22,0.65,0
105,8897.43,0.65,0.86,0.47,0.33,0.89,0
71,17438.98,0.00,0.00,0.37,0.36,0.95,0
79,13770.99,0.28,0.35,0.42,0.35,0.88,0
0,0.00,0.00,0.00,0.00,0.00,0.00,0
40,2575.36,0.32,0.42,0.15,0.70,0.80,0
70,505.35,0.27,0.29,0.70,0.21,0.92,0
39,10115.54,0.15,0.20,0.43,0.36,0.88,0
51,5446.94,0.32,0.82,0.33,0.36,0.83,0
4,7244.26,0.24,0.31,0.41,0.34,0.85,0
48,8489.53,0.22,0.28,0.36,0.39,0.86,0
31,3785.24,0.49,0.54,0.19,0.50,0.83,0
46,6556.63,0.18,0.32,0.40,0.33,0.80,0
37,9257.30,0.43,0.64,0.27,0.38,0.84,0
64,11427.00,0.23,0.39,0.45,0.27,0.88,0
51,10288.31,0.12,0.16,0.37,0.23,0.82,0
20,11172.14,0.55,0.81,0.29,0.25,0.80,0
14,1425.64,0.29,0.32,0.37,0.28,0.76,0
21,1057.47,0.08,0.09,0.44,0.35,0.80,0
68,25493.75,0.32,0.35,0.38,0.10,0.82,0
43,6537.47,0.01,0.01,0.71,0.10,0.82,0
29,12409.60,0.23,0.40,0.71,0.06,0.83,0
67,12837.02,0.62,0.66,0.57,0.17,0.84,0
12,15707.53,0.05,0.07,0.62,0.14,0.85,0
57,16023.53,0.26,0.36,0.51,0.11,0.87,0
16,4430.30,0.18,0.31,0.67,0.08,0.79,0
158,34447.73,0.44,0.61,0.29,0.19,0.85,0
41,27895.95,0.46,0.63,0.40,0.28,0.90,0
57,24125.35,0.30,0.38,0.24,0.37,0.80,0
82,14385.02,0.15,0.23,0.32,0.20,0.84,0
44,27240.90,0.98,1.00,0.28,0.41,0.83,0
54,31427.87,0.19,0.47,0.32,0.15,0.86,0
47,16643.52,0.26,0.34,0.46,0.21,0.86,0
107,13349.66,0.16,0.26,0.42,0.19,0.85,0
84,15615.81,0.24,0.32,0.53,0.21,0.91,0
40,18431.20,0.81,0.87,0.28,0.55,0.79,0
20,12699.99,0.23,0.28,0.40,0.22,0.83,0
106,13291.36,0.24,0.34,0.44,0.26,0.88,0
11,14765.37,0.28,0.36,0.77,0.06,0.93,0
64,22209.52,0.28,0.33,0.40,0.35,0.91,0
61,21695.45,0.12,0.19,0.76,0.08,0.96,0
63,15529.48,0.11,0.16,0.68,0.16,0.95,0
39,14899.45,0.05,0.08,0.65,0.11,0.93,0
90,19141.89,0.16,0.18,0.69,0.10,0.96,0
179,8025.85,0.03,0.19,0.70,0.10,0.93,0
92,9865.00,0.10,0.39,0.65,0.16,0.92,0
63,10192.49,0.17,0.18,0.60,0.20,0.89,0
125,11286.67,0.23,0.30,0.40,0.43,0.87,0
109,6585.36,0.24,0.32,0.43,0.43,0.88,0
105,4664.23,0.26,0.43,0.28,0.54,0.82,0
68,9086.12,0.04,0.16,0.50,0.21,0.94,0
26,48362.84,0.05,0.08,0.70,0.06,1.00,0
26,21842.27,0.17,0.20,0.70,0.08,0.98,0
29,42448.14,0.09,0.14,0.70,0.08,0.98,0
226,24385.33,1.00,1.00,0.25,0.19,0.90,0
11,19803.06,0.08,0.13,0.59,0.15,0.94,0
19,79547.25,0.16,0.27,0.70,0.05,0.98,0
21,15556.96,0.41,0.44,0.16,0.69,0.80,0
24,8748.09,0.71,0.71,0.02,0.88,0.77,0
720,21495.83,0.26,0.27,0.40,0.36,0.97,0
117,4369.48,0.26,0.33,0.61,0.16,0.95,0
123,25089.74,0.07,0.17,0.40,0.37,0.87,0
44,19377.15,0.60,0.84,0.40,0.28,0.89,0
67,9243.71,0.16,0.25,0.59,0.18,0.89,0
37,19501.86,0.22,0.33,0.43,0.24,0.86,0
61,15419.29,0.19,0.27,0.51,0.15,0.88,0
34,22984.45,0.14,0.27,0.56,0.12,0.94,0
72,24800.42,0.68,0.75,0.27,0.47,0.80,0
46,16715.62,0.28,0.47,0.65,0.14,0.97,0
31,10049.71,0.03,0.12,0.67,0.11,0.87,0
66,16093.38,0.01,0.06,0.59,0.14,0.92,0
64,16149.40,0.27,0.27,0.43,0.24,0.88,0
47,26895.10,0.13,0.19,0.62,0.11,0.92,0
120,26858.51,0.25,0.36,0.62,0.14,0.96,0
50,18287.97,0.09,0.11,0.65,0.12,0.91,0
68,4686.67,0.10,0.13,0.71,0.09,0.93,0
45,19340.07,0.03,0.07,0.72,0.07,0.89,0
89,16049.63,0.06,0.18,0.76,0.04,0.91,0
40,18314.66,0.13,0.20,0.78,0.03,0.91,0
60,20854.29,0.18,0.31,0.81,0.03,0.93,0
20,7076.63,0.09,0.19,0.73,0.03,0.88,0
31,18636.23,0.25,0.32,0.71,0.06,0.94,0
100,20139.84,0.07,0.18,0.76,0.06,0.93,0
98,11869.16,0.08,0.12,0.75,0.05,0.95,0
138,11923.04,0.15,0.16,0.77,0.04,0.94,0
20,2456.35,0.06,0.11,0.72,0.04,0.91,0
52,2200.86,0.35,0.37,0.72,0.05,0.90,0
78,16733.24,0.13,0.15,0.70,0.08,0.96,0
64,18975.90,0.27,0.37,0.79,0.04,0.94,0
59,17032.56,0.06,0.27,0.80,0.04,0.97,0
139,12132.73,0.37,0.46,0.76,0.03,0.96,0
99,15564.22,0.08,0.12,0.74,0.05,0.96,0
164,13976.95,0.42,0.47,0.61,0.03,0.98,0
58,30000.51,0.13,0.14,0.67,0.09,0.97,0
122,32401.33,0.25,0.39,0.55,0.07,0.97,0
297,5612.80,0.13,0.13,0.77,0.06,0.94,0
111,8907.54,0.21,0.26,0.69,0.06,0.95,0
118,6366.09,0.30,0.33,0.49,0.04,0.93,0
0,0.00,0.00,0.00,0.00,0.00,0.00,0
0,168.71,0.00,0.00,0.21,0.58,1.00,0
1,99.95,0.00,0.00,0.25,0.00,1.00,0
145,12549.65,0.10,0.10,0.73,0.06,0.98,0
121,4992.64,0.14,0.16,0.59,0.16,0.95,0
116,55611.46,0.31,0.41,0.61,0.19,0.99,0
70,2068.45,0.21,0.24,0.62,0.14,0.96,0
165,9732.42,0.60,0.65,0.29,0.62,0.85,0
547,1100.73,1.00,1.00,0.17,0.74,0.77,0
132,6191.89,0.39,0.46,0.79,0.05,0.90,0
25,10737.28,0.54,0.57,0.07,0.88,0.63,0
43,8697.57,0.32,0.32,0.50,0.36,0.95,0
100,11273.61,0.29,0.33,0.53,0.27,0.92,0
57,7535.55,0.23,0.46,0.60,0.21,0.90,0
113,12244.97,0.27,0.40,0.52,0.29,0.92,0
97,12904.97,0.41,0.52,0.20,0.54,0.84,0
128,13472.19,0.35,0.43,0.30,0.42,0.79,0
77,23554.45,0.47,0.57,0.65,0.19,0.93,0
35,5320.30,0.09,0.31,0.50,0.35,0.84,0
89,12885.00,0.47,0.47,0.23,0.37,0.77,0
31,13013.02,0.32,0.45,0.45,0.30,0.83,0
74,13212.80,0.16,0.26,0.69,0.10,0.97,0
75,8149.00,0.09,0.16,0.70,0.07,0.92,0
106,12019.18,0.23,0.25,0.72,0.12,0.94,0
62,16088.81,0.19,0.19,0.57,0.23,0.95,0
64,30653.04,0.16,0.26,0.64,0.14,0.97,0
113,44660.16,0.84,0.93,0.37,0.31,0.90,0
31,12353.57,0.09,0.10,0.61,0.08,0.93,0
93,38355.89,0.32,0.35,0.41,0.14,0.92,0
35,22576.68,0.08,0.08,0.80,0.02,0.95,0
111,11030.17,0.05,0.10,0.74,0.06,0.95,0
35,14595.94,0.13,0.17,0.54,0.22,0.89,0
112,43535.24,0.15,0.72,0.56,0.18,0.97,0
61,25661.74,0.14,0.16,0.67,0.06,0.96,0
93,31305.95,0.04,0.11,0.69,0.04,0.98,0
75,19310.54,0.32,0.35,0.78,0.04,0.94,0
57,32044.81,0.24,0.28,0.73,0.06,0.91,0
65,16539.98,0.27,0.38,0.76,0.05,0.94,0
41,11140.35,0.13,0.20,0.66,0.03,0.95,0
218,18467.52,0.10,0.16,0.65,0.14,0.94,0
52,28492.20,0.31,0.36,0.68,0.06,0.98,0
109,14037.71,0.34,0.34,0.68,0.06,0.95,0
149,13909.17,0.13,0.18,0.71,0.04,0.96,0
68,6380.24,0.15,0.25,0.69,0.09,0.92,0
66,23893.86,0.19,0.19,0.65,0.15,0.96,0
79,17157.35,0.22,0.32,0.75,0.04,0.96,0
131,23202.66,0.23,0.36,0.74,0.02,0.94,0
120,6604.17,0.04,0.04,0.73,0.03,0.93,0
145,41720.19,0.40,0.41,0.63,0.03,0.99,0
86,8705.53,0.27,0.28,0.60,0.07,0.97,0
27,17800.70,0.33,0.49,0.16,0.71,0.83,0
96,16513.52,0.10,0.17,0.53,0.29,0.95,0
148,4653.38,0.15,0.18,0.81,0.04,0.85,0
102,8025.00,0.15,0.19,0.83,0.02,0.84,0
75,7033.76,0.10,0.14,0.80,0.07,0.88,0
41,8576.94,0.09,0.21,0.72,0.14,0.84,0
67,10198.73,0.03,0.17,0.79,0.06,0.84,0
75,8977.08,0.09,0.14,0.81,0.04,0.85,0
102,9724.48,0.27,0.39,0.53,0.35,0.83,0
19,8162.24,0.28,0.34,0.54,0.33,0.84,0
16,8224.20,0.45,0.71,0.60,0.24,0.82,0
66,9813.25,0.06,0.09,0.58,0.27,0.78,0
0,1202.58,0.00,0.01,0.13,0.80,0.99,0
76,6876.10,0.12,0.16,0.65,0.22,0.85,0
369,7255.60,0.01,0.04,0.70,0.15,0.78,0
97,7957.25,0.07,0.09,0.71,0.15,0.83,0
